"Nr.";"Name";"Wahberechtigte";"abgegebeneStimmen";"Wahlbeteiligung in p";"ungueltigeStimmen";"Ungueltige in p";"gueltigeStimmen";"Gueltige in p";" OEVP ";"OEVPp";" SPOE ";"SPOEp";" GRUENE ";"GRUENEp";" FPOE ";"FPOEp";" BZOE ";"BZOEp";" DCOOE ";"DCOOEp";" KPOE ";"KPOEp";"Stimmen";" Ant. % ";"DatumErst";"ZeitErst";"DatumLetzt";"ZeitLetzt"
40300;"Stadt Wels                          ";40799;27977;68.57;604;2.16;27373;97.84;9929;36.27;7747;28.3;2839;10.37;5748;21;830;3.03;86;0.31;194;0.71;" 0 ";" 0 ";27/09/2009;7:41:29 PM;27/09/2009;9:28:13 PM
40301;"Wels";40799;27977;68.57;604;2.16;27373;97.84;9929;36.27;7747;28.3;2839;10.37;5748;21;830;3.03;86;0.31;194;0.71;" 0 ";" 0 ";27/09/2009;7:41:29 PM;27/09/2009;9:28:13 PM
40400;"Bezirk Braunau am Inn                ";74376;57462;77.26;1208;2.1;56254;97.9;27508;48.9;12309;21.88;3828;6.8;10322;18.35;1808;3.21;225;0.4;254;0.45;" 0 ";" 0 ";27/09/2009;7:41:07 PM;27/09/2009;9:29:19 PM
40401;"Altheim                       ";3833;3096;80.77;69;2.23;3027;97.77;1397;46.15;737;24.35;176;5.81;604;19.95;90;2.97;12;0.4;11;0.36;" 0 ";" 0 ";27/09/2009;5:00:09 PM;27/09/2009;5:00:09 PM
40402;"Aspach                        ";1892;1617;85.47;25;1.55;1592;98.45;973;61.12;210;13.19;93;5.84;252;15.83;43;2.7;12;0.75;9;0.57;" 0 ";" 0 ";27/09/2009;3:52:38 PM;27/09/2009;3:52:38 PM
40403;"Auerbach                      ";402;355;88.31;8;2.25;347;97.75;197;56.77;27;7.78;29;8.36;84;24.21;4;1.15;5;1.44;1;0.29;" 0 ";" 0 ";27/09/2009;1:47:53 PM;27/09/2009;4:36:30 PM
40404;"Braunau am Inn                ";12069;8132;67.38;127;1.56;8005;98.44;2786;34.8;2280;28.48;925;11.56;1573;19.65;381;4.76;18;0.22;42;0.52;" 0 ";" 0 ";27/09/2009;7:41:07 PM;27/09/2009;9:29:19 PM
40405;"Burgkirchen                   ";2040;1613;79.07;28;1.74;1585;98.26;849;53.56;242;15.27;117;7.38;316;19.94;47;2.97;8;0.5;6;0.38;" 0 ";" 0 ";27/09/2009;3:25:24 PM;27/09/2009;3:25:24 PM
40406;"Eggelsberg                    ";1687;1285;76.17;29;2.26;1256;97.74;698;55.57;219;17.44;81;6.45;216;17.2;31;2.47;9;0.72;2;0.16;" 0 ";" 0 ";27/09/2009;5:15:13 PM;27/09/2009;5:15:13 PM
40407;"Feldkirchen bei Mattighofen   ";1507;1226;81.35;30;2.45;1196;97.55;644;53.85;143;11.96;50;4.18;309;25.84;38;3.18;6;0.5;6;0.5;" 0 ";" 0 ";27/09/2009;4:46:25 PM;27/09/2009;4:46:25 PM
40408;"Franking                      ";690;526;76.23;8;1.52;518;98.48;304;58.69;64;12.36;16;3.09;113;21.81;13;2.51;2;0.39;6;1.16;" 0 ";" 0 ";27/09/2009;2:29:24 PM;27/09/2009;2:29:24 PM
40409;"Geretsberg                    ";838;628;74.94;15;2.39;613;97.61;369;60.2;78;12.72;24;3.92;119;19.41;19;3.1;1;0.16;3;0.49;" 0 ";" 0 ";27/09/2009;2:29:42 PM;27/09/2009;2:29:42 PM
40410;"Gilgenberg am Weilhart        ";984;788;80.08;31;3.93;757;96.07;448;59.18;82;10.83;40;5.28;157;20.74;28;3.7;0;0;2;0.26;" 0 ";" 0 ";27/09/2009;3:25:09 PM;27/09/2009;3:25:09 PM
40411;"Haigermoos                    ";488;400;81.97;4;1;396;99;218;55.05;69;17.42;27;6.82;67;16.92;14;3.54;0;0;1;0.25;" 0 ";" 0 ";27/09/2009;1:42:57 PM;27/09/2009;1:42:57 PM
40412;"Handenberg                    ";1034;836;80.85;15;1.79;821;98.21;470;57.25;98;11.94;46;5.6;176;21.44;19;2.31;11;1.34;1;0.12;" 0 ";" 0 ";27/09/2009;4:15:25 PM;27/09/2009;4:15:25 PM
40413;"Helpfau-Uttendorf             ";2375;1817;76.51;38;2.09;1779;97.91;932;52.39;315;17.71;83;4.67;383;21.53;50;2.81;4;0.22;12;0.67;" 0 ";" 0 ";27/09/2009;3:25:02 PM;27/09/2009;3:25:02 PM
40414;"Hochburg-Ach                  ";2219;1652;74.45;42;2.54;1610;97.46;913;56.71;250;15.53;160;9.94;234;14.53;47;2.92;2;0.12;4;0.25;" 0 ";" 0 ";27/09/2009;4:22:18 PM;27/09/2009;4:22:18 PM
40415;"Höhnhart                      ";1106;935;84.54;12;1.28;923;98.72;507;54.93;156;16.9;39;4.23;192;20.8;23;2.49;4;0.43;2;0.22;" 0 ";" 0 ";27/09/2009;4:02:16 PM;27/09/2009;5:52:46 PM
40416;"Jeging";486;425;87.45;15;3.53;410;96.47;191;46.59;113;27.56;14;3.41;81;19.76;10;2.44;0;0;1;0.24;" 0 ";" 0 ";27/09/2009;2:29:34 PM;27/09/2009;2:29:34 PM
40417;"Kirchberg bei Mattighofen     ";869;732;84.23;12;1.64;720;98.36;441;61.25;65;9.03;43;5.97;148;20.56;15;2.08;4;0.56;4;0.56;" 0 ";" 0 ";27/09/2009;3:58:16 PM;27/09/2009;3:58:16 PM
40418;"Lengau                        ";3437;2619;76.2;72;2.75;2547;97.25;1081;42.44;862;33.84;167;6.56;339;13.31;71;2.79;11;0.43;16;0.63;" 0 ";" 0 ";27/09/2009;5:00:17 PM;27/09/2009;5:00:17 PM
40419;"Lochen                        ";1956;1531;78.27;36;2.35;1495;97.65;825;55.18;274;18.33;99;6.62;251;16.79;35;2.34;8;0.54;3;0.2;" 0 ";" 0 ";27/09/2009;4:46:10 PM;27/09/2009;4:46:10 PM
40420;"Maria Schmolln                ";1117;940;84.15;7;0.74;933;99.26;563;60.34;178;19.08;52;5.57;114;12.22;19;2.04;4;0.43;3;0.32;" 0 ";" 0 ";27/09/2009;2:58:27 PM;27/09/2009;2:58:27 PM
40421;"Mattighofen                   ";3662;2695;73.59;62;2.3;2633;97.7;955;36.27;881;33.46;184;6.99;457;17.36;126;4.79;10;0.38;20;0.76;" 0 ";" 0 ";27/09/2009;5:52:24 PM;27/09/2009;5:52:24 PM
40422;"Mauerkirchen                  ";1615;1163;72.01;22;1.89;1141;98.11;486;42.59;274;24.01;69;6.05;277;24.28;29;2.54;1;0.09;5;0.44;" 0 ";" 0 ";27/09/2009;3:38:27 PM;27/09/2009;3:38:27 PM
40423;"Mining                        ";934;780;83.51;19;2.44;761;97.56;424;55.72;124;16.29;57;7.49;123;16.16;27;3.55;2;0.26;4;0.53;" 0 ";" 0 ";27/09/2009;3:43:05 PM;27/09/2009;3:43:05 PM
40424;"Moosbach                      ";737;632;85.75;16;2.53;616;97.47;298;48.38;68;11.04;33;5.36;189;30.68;25;4.06;0;0;3;0.49;" 0 ";" 0 ";27/09/2009;2:42:48 PM;27/09/2009;2:42:48 PM
40425;"Moosdorf                      ";1206;890;73.8;25;2.81;865;97.19;354;40.92;297;34.34;50;5.78;136;15.72;19;2.2;5;0.58;4;0.46;" 0 ";" 0 ";27/09/2009;3:57:57 PM;27/09/2009;3:57:57 PM
40426;"Munderfing                    ";2100;1743;83;44;2.52;1699;97.48;918;54.03;412;24.25;108;6.36;199;11.71;46;2.71;12;0.71;4;0.24;" 0 ";" 0 ";27/09/2009;2:42:58 PM;27/09/2009;2:42:58 PM
40427;"Neukirchen an der Enknach     ";1679;1346;80.17;24;1.78;1322;98.22;613;46.37;249;18.84;92;6.96;311;23.52;39;2.95;7;0.53;11;0.83;" 0 ";" 0 ";27/09/2009;3:52:25 PM;27/09/2009;3:52:25 PM
40428;"Ostermiething                 ";2322;1610;69.34;48;2.98;1562;97.02;943;60.37;247;15.81;111;7.11;198;12.68;56;3.59;3;0.19;4;0.26;" 0 ";" 0 ";27/09/2009;3:38:09 PM;27/09/2009;3:38:09 PM
40429;"Palting                       ";736;537;72.96;19;3.54;518;96.46;334;64.48;62;11.97;27;5.21;73;14.09;18;3.47;3;0.58;1;0.19;" 0 ";" 0 ";27/09/2009;4:02:21 PM;27/09/2009;4:02:21 PM
40430;"Perwang am Grabensee          ";629;518;82.35;10;1.93;508;98.07;324;63.78;83;16.34;30;5.91;53;10.43;12;2.36;3;0.59;3;0.59;" 0 ";" 0 ";27/09/2009;2:11:22 PM;27/09/2009;2:11:22 PM
40431;"Pfaffstätt                    ";739;658;89.04;11;1.67;647;98.33;335;51.78;157;24.27;29;4.48;92;14.22;28;4.33;2;0.31;4;0.62;" 0 ";" 0 ";27/09/2009;5:00:25 PM;27/09/2009;5:00:25 PM
40432;"Pischelsdorf am Engelbach     ";1264;989;78.24;28;2.83;961;97.17;514;53.49;141;14.67;29;3.02;225;23.41;45;4.68;4;0.42;3;0.31;" 0 ";" 0 ";27/09/2009;4:15:17 PM;27/09/2009;4:15:17 PM
40433;"Polling im Innkreis           ";740;647;87.43;6;0.93;641;99.07;346;53.98;140;21.84;23;3.59;116;18.1;14;2.18;1;0.16;1;0.16;" 0 ";" 0 ";27/09/2009;2:47:15 PM;27/09/2009;2:47:15 PM
40434;"Roßbach                       ";780;707;90.64;13;1.84;694;98.16;365;52.59;143;20.61;26;3.75;146;21.04;11;1.59;1;0.14;2;0.29;" 0 ";" 0 ";27/09/2009;2:34:14 PM;27/09/2009;2:34:14 PM
40435;"St.Georgen am Fillmannsbach   ";321;286;89.1;7;2.45;279;97.55;126;45.16;12;4.3;8;2.87;121;43.37;10;3.58;1;0.36;1;0.36;" 0 ";" 0 ";27/09/2009;1:41:07 PM;27/09/2009;1:41:07 PM
40436;"St.Johann am Walde            ";1681;1426;84.83;25;1.75;1401;98.25;664;47.39;418;29.84;68;4.85;218;15.56;24;1.71;5;0.36;4;0.29;" 0 ";" 0 ";27/09/2009;3:43:14 PM;27/09/2009;3:43:14 PM
40437;"St.Pantaleon                  ";2323;1697;73.05;42;2.47;1655;97.53;675;40.79;554;33.47;97;5.86;263;15.89;47;2.84;10;0.6;9;0.54;" 0 ";" 0 ";27/09/2009;5:33:26 PM;27/09/2009;5:33:26 PM
40438;"St.Peter am Hart              ";1840;1508;81.96;26;1.72;1482;98.28;727;49.06;351;23.68;129;8.7;220;14.84;47;3.17;2;0.13;6;0.4;" 0 ";" 0 ";27/09/2009;3:13:35 PM;27/09/2009;3:13:35 PM
40439;"St.Radegund                   ";457;370;80.96;6;1.62;364;98.38;262;71.98;25;6.87;37;10.16;28;7.69;8;2.2;1;0.27;3;0.82;" 0 ";" 0 ";27/09/2009;3:02:16 PM;27/09/2009;3:02:16 PM
40440;"St.Veit im Innkreis           ";334;312;93.41;3;0.96;309;99.04;160;51.78;70;22.65;13;4.21;60;19.42;5;1.62;1;0.32;0;0;" 0 ";" 0 ";27/09/2009;1:07:24 PM;27/09/2009;1:07:24 PM
40441;"Schalchen                     ";2837;2169;76.45;56;2.58;2113;97.42;878;41.55;611;28.92;140;6.63;385;18.22;78;3.69;12;0.57;9;0.43;" 0 ";" 0 ";27/09/2009;4:17:11 PM;27/09/2009;8:02:15 PM
40442;"Schwand im Innkreis           ";689;558;80.99;20;3.58;538;96.42;315;58.55;68;12.64;45;8.36;89;16.54;17;3.16;1;0.19;3;0.56;" 0 ";" 0 ";27/09/2009;2:47:08 PM;27/09/2009;2:47:08 PM
40443;"Tarsdorf                      ";1581;1227;77.61;23;1.87;1204;98.13;679;56.4;174;14.45;82;6.81;224;18.6;27;2.24;11;0.91;7;0.58;" 0 ";" 0 ";27/09/2009;3:02:21 PM;27/09/2009;3:02:21 PM
40444;"Treubach                      ";595;510;85.71;3;0.59;507;99.41;309;60.95;41;8.09;13;2.56;126;24.85;14;2.76;3;0.59;1;0.2;" 0 ";" 0 ";27/09/2009;1:40:47 PM;27/09/2009;1:40:47 PM
40445;"Überackern                    ";426;377;88.5;13;3.45;364;96.55;195;53.57;95;26.1;8;2.2;52;14.29;12;3.3;0;0;2;0.55;" 0 ";" 0 ";27/09/2009;3:02:41 PM;27/09/2009;3:02:41 PM
40446;"Weng im Innkreis              ";1120;954;85.18;14;1.47;940;98.53;503;53.51;150;15.96;39;4.15;213;22.66;27;2.87;3;0.32;5;0.53;" 0 ";" 0 ";27/09/2009;3:19:27 PM;27/09/2009;3:19:27 PM
40500;"Bezirk Eferding                      ";25039;21410;85.51;506;2.36;20904;97.64;10026;47.96;5146;24.62;1745;8.35;3290;15.74;532;2.54;73;0.35;92;0.44;" 0 ";" 0 ";27/09/2009;7:02:41 PM;27/09/2009;7:02:41 PM
40501;"Alkoven                       ";4276;3605;84.31;69;1.91;3536;98.09;1490;42.14;1190;33.65;293;8.29;446;12.61;90;2.55;12;0.34;15;0.42;" 0 ";" 0 ";27/09/2009;6:47:58 PM;27/09/2009;6:47:58 PM
40502;"Aschach an der Donau          ";1669;1468;87.96;54;3.68;1414;96.32;579;40.95;409;28.93;142;10.04;247;17.47;32;2.26;3;0.21;2;0.14;" 0 ";" 0 ";27/09/2009;5:51:49 PM;27/09/2009;5:51:49 PM
40503;"Eferding                      ";2763;2160;78.18;37;1.71;2123;98.29;965;45.45;603;28.4;197;9.28;306;14.41;42;1.98;3;0.14;7;0.33;" 0 ";" 0 ";27/09/2009;5:41:53 PM;27/09/2009;5:41:53 PM
40504;"Fraham                        ";1719;1523;88.6;55;3.61;1468;96.39;630;42.92;442;30.11;123;8.38;229;15.6;32;2.18;5;0.34;7;0.48;" 0 ";" 0 ";27/09/2009;6:14:11 PM;27/09/2009;6:14:11 PM
40505;"Haibach ob der Donau          ";1074;917;85.38;21;2.29;896;97.71;497;55.47;216;24.11;74;8.26;81;9.04;17;1.9;2;0.22;9;1;" 0 ";" 0 ";27/09/2009;5:37:48 PM;27/09/2009;5:37:48 PM
40506;"Hartkirchen                   ";3401;2979;87.59;65;2.18;2914;97.82;1507;51.72;561;19.25;253;8.68;492;16.88;87;2.99;2;0.07;12;0.41;" 0 ";" 0 ";27/09/2009;5:32:11 PM;27/09/2009;5:32:11 PM
40507;"Hinzenbach                    ";1540;1342;87.14;33;2.46;1309;97.54;650;49.66;337;25.74;67;5.12;208;15.89;35;2.67;6;0.46;6;0.46;" 0 ";" 0 ";27/09/2009;7:02:41 PM;27/09/2009;7:02:41 PM
40508;"Prambachkirchen               ";2257;1960;86.84;50;2.55;1910;97.45;1045;54.71;305;15.97;152;7.96;347;18.17;43;2.25;10;0.52;8;0.42;" 0 ";" 0 ";27/09/2009;5:53:00 PM;27/09/2009;5:53:00 PM
40509;"Pupping                       ";1595;1347;84.45;33;2.45;1314;97.55;635;48.33;293;22.3;96;7.31;246;18.72;35;2.66;7;0.53;2;0.15;" 0 ";" 0 ";27/09/2009;4:22:07 PM;27/09/2009;4:22:07 PM
40510;"St.Marienkirchen an d. Polsenz";1812;1600;88.3;23;1.44;1577;98.56;773;49.02;346;21.94;135;8.56;281;17.82;27;1.71;8;0.51;7;0.44;" 0 ";" 0 ";27/09/2009;5:57:48 PM;27/09/2009;5:57:48 PM
40511;"Scharten                      ";1665;1455;87.39;26;1.79;1429;98.21;638;44.65;327;22.88;149;10.43;249;17.42;46;3.22;11;0.77;9;0.63;" 0 ";" 0 ";27/09/2009;4:58:16 PM;27/09/2009;4:58:16 PM
40512;"Stroheim                      ";1268;1054;83.12;40;3.8;1014;96.2;617;60.85;117;11.54;64;6.31;158;15.58;46;4.54;4;0.39;8;0.79;" 0 ";" 0 ";27/09/2009;4:12:08 PM;27/09/2009;4:12:08 PM
40600;"Bezirk Freistadt                     ";52003;45620;87.73;667;1.46;44953;98.54;24104;53.62;10347;23.02;3774;8.4;5240;11.66;1069;2.38;194;0.43;225;0.5;" 0 ";" 0 ";27/09/2009;8:20:25 PM;29/09/2009;9:59:20 AM
40601;"Freistadt                     ";5852;4853;82.93;55;1.13;4798;98.87;2283;47.58;1144;23.84;555;11.57;611;12.73;162;3.38;11;0.23;32;0.67;" 0 ";" 0 ";27/09/2009;7:08:20 PM;27/09/2009;10:34:00 PM
40602;"Grünbach                      ";1484;1253;84.43;26;2.08;1227;97.92;680;55.42;182;14.83;83;6.76;212;17.28;58;4.73;6;0.49;6;0.49;" 0 ";" 0 ";27/09/2009;6:16:41 PM;29/09/2009;9:59:20 AM
40603;"Gutau                         ";2159;1933;89.53;21;1.09;1912;98.91;1011;52.88;461;24.11;166;8.68;225;11.77;35;1.83;5;0.26;9;0.47;" 0 ";" 0 ";27/09/2009;5:32:37 PM;27/09/2009;5:32:37 PM
40604;"Hagenberg im Mühlkreis        ";2115;1841;87.04;25;1.36;1816;98.64;793;43.67;490;26.98;220;12.11;240;13.22;47;2.59;9;0.5;17;0.94;" 0 ";" 0 ";27/09/2009;8:20:25 PM;27/09/2009;8:20:25 PM
40605;"Hirschbach im Mühlkreis       ";919;820;89.23;8;0.98;812;99.02;476;58.62;153;18.84;83;10.22;74;9.11;18;2.22;3;0.37;5;0.62;" 0 ";" 0 ";27/09/2009;4:15:56 PM;27/09/2009;4:15:56 PM
40606;"Kaltenberg                    ";506;471;93.08;6;1.27;465;98.73;372;80;22;4.73;8;1.72;55;11.83;8;1.72;0;0;0;0;" 0 ";" 0 ";27/09/2009;3:29:16 PM;27/09/2009;3:29:16 PM
40607;"Kefermarkt                    ";1694;1483;87.54;19;1.28;1464;98.72;723;49.39;383;26.16;127;8.67;179;12.23;40;2.73;6;0.41;6;0.41;" 0 ";" 0 ";27/09/2009;4:52:42 PM;27/09/2009;4:52:42 PM
40608;"Königswiesen                  ";2534;2091;82.52;29;1.39;2062;98.61;1269;61.54;370;17.94;109;5.29;253;12.27;29;1.41;19;0.92;13;0.63;" 0 ";" 0 ";27/09/2009;7:46:02 PM;27/09/2009;7:46:02 PM
40609;"Lasberg                       ";2279;2002;87.85;27;1.35;1975;98.65;1137;57.57;345;17.47;200;10.13;231;11.7;49;2.48;3;0.15;10;0.51;" 0 ";" 0 ";27/09/2009;5:10:14 PM;27/09/2009;5:10:14 PM
40610;"Leopoldschlag                 ";852;761;89.32;15;1.97;746;98.03;481;64.48;109;14.61;55;7.37;86;11.53;14;1.88;0;0;1;0.13;" 0 ";" 0 ";27/09/2009;3:54:29 PM;27/09/2009;3:54:29 PM
40611;"Liebenau                      ";1439;1343;93.33;18;1.34;1325;98.66;787;59.4;331;24.98;54;4.08;114;8.6;27;2.04;8;0.6;4;0.3;" 0 ";" 0 ";27/09/2009;6:54:34 PM;27/09/2009;6:54:34 PM
40612;"Neumarkt im Mühlkreis         ";2485;2272;91.43;26;1.14;2246;98.86;1144;50.93;544;24.22;265;11.8;231;10.28;45;2;6;0.27;11;0.49;" 0 ";" 0 ";27/09/2009;7:52:50 PM;27/09/2009;7:52:50 PM
40613;"Pierbach                      ";807;701;86.86;5;0.71;696;99.29;400;57.47;132;18.97;40;5.75;94;13.51;16;2.3;14;2.01;0;0;" 0 ";" 0 ";27/09/2009;4:10:26 PM;27/09/2009;4:10:26 PM
40614;"Pregarten                     ";3956;3476;87.87;56;1.61;3420;98.39;1689;49.39;949;27.75;284;8.3;399;11.67;73;2.13;11;0.32;15;0.44;" 0 ";" 0 ";27/09/2009;5:40:43 PM;27/09/2009;5:40:43 PM
40615;"Rainbach im Mühlkreis         ";2309;1962;84.97;41;2.09;1921;97.91;1134;59.03;408;21.24;147;7.65;161;8.38;46;2.39;18;0.94;7;0.36;" 0 ";" 0 ";27/09/2009;7:39:27 PM;27/09/2009;7:39:27 PM
40616;"Sandl                         ";1152;1102;95.66;15;1.36;1087;98.64;537;49.4;356;32.75;64;5.89;94;8.65;18;1.66;6;0.55;12;1.1;" 0 ";" 0 ";27/09/2009;6:03:29 PM;27/09/2009;6:03:29 PM
40617;"St.Leonhard bei Freistadt     ";1190;1044;87.73;17;1.63;1027;98.37;556;54.14;248;24.15;60;5.84;125;12.17;23;2.24;7;0.68;8;0.78;" 0 ";" 0 ";27/09/2009;5:33:22 PM;27/09/2009;5:33:22 PM
40618;"St.Oswald bei Freistadt       ";2151;1950;90.66;23;1.18;1927;98.82;1052;54.59;503;26.1;89;4.62;213;11.05;51;2.65;11;0.57;8;0.42;" 0 ";" 0 ";27/09/2009;5:24:20 PM;27/09/2009;5:24:20 PM
40619;"Schönau im Mühlkreis          ";1517;1334;87.94;15;1.12;1319;98.88;798;60.5;231;17.51;71;5.38;184;13.95;33;2.5;0;0;2;0.15;" 0 ";" 0 ";27/09/2009;5:34:28 PM;27/09/2009;5:34:28 PM
40620;"Tragwein                      ";2462;2243;91.1;28;1.25;2215;98.75;1137;51.33;679;30.65;148;6.68;205;9.26;24;1.08;9;0.41;13;0.59;" 0 ";" 0 ";27/09/2009;6:08:12 PM;27/09/2009;6:08:12 PM
40621;"Unterweißenbach               ";1922;1616;84.08;28;1.73;1588;98.27;999;62.91;242;15.24;86;5.42;215;13.54;32;2.02;10;0.63;4;0.25;" 0 ";" 0 ";27/09/2009;6:28:57 PM;27/09/2009;8:41:03 PM
40622;"Unterweitersdorf              ";1537;1424;92.65;26;1.83;1398;98.17;646;46.21;422;30.19;123;8.8;161;11.52;33;2.36;7;0.5;6;0.43;" 0 ";" 0 ";27/09/2009;5:39:52 PM;27/09/2009;5:39:52 PM
40623;"Waldburg                      ";1075;936;87.07;15;1.6;921;98.4;520;56.46;195;21.17;82;8.9;96;10.42;23;2.5;3;0.33;2;0.22;" 0 ";" 0 ";27/09/2009;5:35:01 PM;27/09/2009;5:35:01 PM
40624;"Wartberg ob der Aist          ";3272;2845;86.95;69;2.43;2776;97.57;1198;43.16;797;28.71;302;10.88;360;12.97;96;3.46;6;0.22;17;0.61;" 0 ";" 0 ";27/09/2009;8:11:12 PM;27/09/2009;8:11:12 PM
40625;"Weitersfelden                 ";868;790;91.01;10;1.27;780;98.73;488;62.56;154;19.74;46;5.9;71;9.1;12;1.54;7;0.9;2;0.26;" 0 ";" 0 ";27/09/2009;5:45:37 PM;27/09/2009;5:45:37 PM
40626;"Windhaag bei Freistadt        ";1289;1139;88.36;17;1.49;1122;98.51;668;59.54;208;18.54;70;6.24;146;13.01;20;1.78;3;0.27;7;0.62;" 0 ";" 0 ";27/09/2009;5:33:56 PM;27/09/2009;5:33:56 PM
40627;"Bad Zell                      ";2178;1935;88.84;27;1.4;1908;98.6;1126;59.01;289;15.15;237;12.42;205;10.74;37;1.94;6;0.31;8;0.42;" 0 ";" 0 ";27/09/2009;4:22:25 PM;27/09/2009;4:22:25 PM
40700;"Bezirk Gmunden                       ";78031;62691;80.34;1291;2.06;61400;97.94;28508;46.43;16875;27.48;5651;9.2;7879;12.83;1762;2.87;330;0.54;395;0.64;" 0 ";" 0 ";27/09/2009;8:29:38 PM;27/09/2009;9:52:41 PM
40701;"Altmünster                    ";7710;6314;81.89;141;2.23;6173;97.77;3167;51.3;1379;22.34;672;10.89;726;11.76;168;2.72;33;0.53;28;0.45;" 0 ";" 0 ";27/09/2009;5:46:49 PM;27/09/2009;8:40:48 PM
40702;"Bad Goisern                   ";5960;4619;77.5;160;3.46;4459;96.54;1560;34.99;1736;38.93;261;5.85;548;12.29;243;5.45;66;1.48;45;1.01;" 0 ";" 0 ";27/09/2009;6:27:00 PM;27/09/2009;6:27:00 PM
40703;"Bad Ischl                     ";10919;8318;76.18;168;2.02;8150;97.98;4054;49.74;2108;25.87;752;9.23;955;11.72;189;2.32;22;0.27;70;0.86;" 0 ";" 0 ";27/09/2009;6:25:05 PM;27/09/2009;6:25:05 PM
40704;"Ebensee                       ";6510;5232;80.37;127;2.43;5105;97.57;2059;40.33;1846;36.16;432;8.46;537;10.52;162;3.17;17;0.33;52;1.02;" 0 ";" 0 ";27/09/2009;7:05:01 PM;27/09/2009;7:05:01 PM
40705;"Gmunden                       ";10070;7824;77.7;142;1.81;7682;98.19;3957;51.51;1451;18.89;1070;13.93;912;11.87;213;2.77;39;0.51;40;0.52;" 0 ";" 0 ";27/09/2009;6:13:51 PM;27/09/2009;6:13:51 PM
40706;"Gosau                         ";1541;1244;80.73;23;1.85;1221;98.15;486;39.8;514;42.1;61;5;104;8.52;36;2.95;13;1.06;7;0.57;" 0 ";" 0 ";27/09/2009;5:10:10 PM;27/09/2009;5:10:10 PM
40707;"Grünau im Almtal              ";1626;1444;88.81;40;2.77;1404;97.23;643;45.8;374;26.64;115;8.19;235;16.74;20;1.42;8;0.57;9;0.64;" 0 ";" 0 ";27/09/2009;4:45:30 PM;27/09/2009;4:45:30 PM
